signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components
2019-02-28,2019-03-01,600276,REJECT,2.28,6.26,39.2,1,tushare_pit_v1,42.12,34.81,reject,compounder,unknown,latent,2019-02-28,,0.0,2.276818333233752,0.055831626852506,conservative_book,80.0,2.0,2.0,1.5,,8.48903502852349,34.72167856684821,True,False,0.8,True,False,100.0,32.61,0.0,5.004904574247946,0.122729143798195,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,44.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-27,2019-03-28,600150,REJECT,8.1,3.5,44.22,1,tushare_pit_v1,48.8,37.34,reject,compounder,unknown,ignition,2019-03-27,,0.0,8.098616205086305,0.4046840516862139,conservative_book,90.0,3.127506005214201,3.127506005214201,0.4853561840056113,0.2177544968910943,5.838120208359611,1.3279124178580315,True,False,0.8,False,False,100.0,55.0,0.0,2.7996304221485473,0.1398962185351498,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,51.25,ignition,26.88,18.096851044,18.096851044,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601088,REJECT,9.06,17.13,55.37,1,tushare_pit_v1,67.31,37.45,reject,compounder,core_resource,latent,2019-03-29,,20.0,9.064068510578696,0.7142903162061552,stressed_book,100.0,16.801573286241773,16.801573286241773,14.167282067747632,0.167611483569722,6.67106246349442,18.97821830641214,True,False,0.8,True,False,100.0,71.07,50.0,12.84472385151323,1.0122233576202702,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601333,REJECT,2.87,1.04,51.05,1,tushare_pit_v1,54.24,46.27,reject,compounder,unknown,latent,2019-03-29,,65.0,2.8669284255324037,0.8581071918646471,conservative_book,80.0,2.0,2.0,1.5,,6.398067525224478,41.3864233687995,True,False,0.8,True,False,100.0,34.72,0.0,0.8310251753714228,0.2487361293208321,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,43.25,latent,53.34,49.51214512,49.51214512,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,603259,REJECT,4.57,7.78,45.24,1,tushare_pit_v1,49.27,39.19,reject,compounder,unknown,latent,2019-03-29,,0.0,4.566198672425475,0.1208470614328763,conservative_book,100.0,22.225920358824883,22.225920358824883,4.623421812878057,0.3322478741423695,8.643602357834169,34.75380286480865,True,False,0.8,True,False,100.0,46.35,0.0,6.224625633122328,0.1647382801859171,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,82.26,80.89636590399999,80.89636590399999,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,858,REJECT,13.12,19.25,43.02,1,tushare_pit_v1,45.04,39.99,reject,compounder,financial_asset,ignition,2019-03-29,,0.0,13.122091907967546,0.1549508212464697,stressed_nav,80.0,2.0,2.0,1.5,,10.42920704339557,16.156884111699846,True,False,0.8,True,False,100.0,62.9,0.0,16.038112331960335,0.1893843370790185,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,21.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601899,REJECT,1.33,1.9,41.09,1,tushare_pit_v1,43.52,37.45,reject,compounder,core_resource,latent,2019-03-29,,0.0,1.3268576751540486,0.4253747960226851,stressed_book,41.0,0.4295184124126329,0.4295184124126329,0.4040871481944696,-0.1279839935070956,3.822507369348203,6.260946081083867,True,False,0.8,True,False,100.0,82.5,0.0,1.4216571752591578,0.4557663887122186,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,63,REJECT,5.89,8.64,41.08,1,tushare_pit_v1,41.81,39.99,reject,compounder,financial_asset,ignition,2019-03-29,,0.0,5.8885836600840005,0.2142922433320487,stressed_nav,62.0,1.031352834849071,1.031352834849071,-0.3688615001295064,0.0060556124031411,3.6615711045476824,5.017160286194806,True,False,0.8,True,False,100.0,67.79,0.0,7.197157806769335,0.2619127418502818,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,21.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,600036,REJECT,15.21,22.31,40.34,1,tushare_pit_v1,40.58,39.99,reject,compounder,financial_asset,ignition,2019-03-29,,0.0,15.20828335604594,0.5682414282637828,stressed_nav,65.0,2.0,2.0,0.0,,3.912482735372263,0.9814977335854588,True,False,0.8,False,False,100.0,55.22,0.0,18.587901879611707,0.6945173012112901,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,21.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,600276,REJECT,2.28,6.28,39.2,1,tushare_pit_v1,42.12,34.81,reject,compounder,unknown,latent,2019-03-29,,0.0,2.2836863302270336,0.0511348972045476,conservative_book,80.0,2.0,2.0,1.5,,8.48903502852349,34.72167856684821,True,False,0.8,True,False,100.0,32.61,0.0,5.020001812822432,0.1124047874997782,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,44.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,2594,REJECT,15.85,12.97,38.32,1,tushare_pit_v1,39.26,36.92,reject,compounder,rigid_shovel,latent,2019-03-29,,0.0,16.839964778119874,0.3215176626909655,stressed_book,35.0,0.2883163579047363,0.2883163579047363,0.2766172602075062,-0.1655902074284144,3.1845856497469045,2.4934124675811726,True,False,0.8,True,False,100.0,67.81,0.0,9.97864882377065,0.1905177290395074,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,600150,REJECT,8.11,0.03,53.43,1,tushare_pit_v1,47.7,62.03,reject,compounder,unknown,trend,2019-04-30,,0.0,8.113941996824344,0.3527917894751171,conservative_book,85.0,4.18233492712109,4.18233492712109,0.0644471611900561,0.2276416832893122,5.875196744256835,1.7715429637099471,True,False,0.8,True,False,100.0,55.0,0.0,0.0212985693795821,0.0009260554743457,conservative_fallback,0.18,0.22,0.18,0.2,0.22,25.0,none,57.2,50.0,True,70.25,trend,16.0,10.0,10.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,2027,REJECT,0.57,0.57,51.23,1,tushare_pit_v1,50.85,51.81,reject,compounder,unknown,ignition,2019-04-30,,0.0,0.5739570199207785,0.1180793148135044,conservative_book,92.0,23.88699105456178,23.88699105456178,10.963701307102928,0.0670118964676776,6.352443602826604,569.0332632845286,True,False,0.8,True,False,100.0,63.03,0.0,0.1478306234114458,0.030412971903865,conservative_fallback,0.18,0.22,0.18,0.2,0.22,25.0,none,49.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
